"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "YAML", "Ini", "MS SQL", "XML", "PostCSS", "Java", "Java Properties", "Docker", "comment", "blank", "total"
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\UpdateProjectRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\BadRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\ForbiddenException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\ResourceNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\InvitationStatus.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\MemberRole.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\Project.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 9, 45
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectInvitation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 16, 69
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectMember.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 11, 50
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectMemberId.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectInvitationRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectMemberRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\EmailService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 10, 67
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\ProjectService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 26, 287
"c:\BachKhoa\Kbase\BE\project-service\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\BachKhoa\Kbase\BE\user-service\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\BachKhoa\Kbase\BE\user-service\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\UserServiceApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\common\ResponseTemplate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\AuthResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
